aX,aY,aZ,gX,gY,gZ
-0.794,0.087,0.768,-3.235,396.240,-25.391
-0.731,0.041,0.748,-7.507,382.996,-30.212
-0.717,0.034,0.625,-16.663,387.207,-32.471
-0.752,-0.081,0.485,-28.687,399.902,-38.147
-0.838,-0.195,0.352,-34.912,411.682,-44.128
-0.875,-0.234,0.126,-30.212,424.255,-42.786
-0.885,-0.262,-0.255,-24.841,439.880,-38.269
-0.852,-0.358,-0.684,-25.940,450.439,-36.926
-0.776,-0.538,-1.074,-33.447,433.472,-37.109
-0.659,-0.607,-1.202,-52.063,397.644,-31.006
-0.539,-0.776,-1.218,-80.750,364.990,-21.912
-0.417,-0.892,-1.359,-97.107,343.079,-12.634
-0.291,-0.837,-1.485,-119.690,325.500,4.028
-0.182,-0.768,-1.537,-144.043,306.274,14.282
-0.125,-0.738,-1.704,-158.752,293.945,16.052
-0.080,-0.672,-1.990,-160.950,285.217,16.602
-0.011,-0.550,-2.364,-148.254,268.921,16.663
0.044,-0.345,-2.773,-118.286,238.831,12.756
0.121,-0.219,-3.176,-75.256,195.007,0.061
0.126,-0.334,-3.407,-32.410,134.521,-20.996
0.131,-0.604,-3.453,7.141,64.880,-38.452
0.113,-0.915,-3.403,40.039,-4.883,-42.480
0.100,-1.132,-3.246,59.814,-71.533,-30.273
0.127,-1.086,-2.914,67.932,-136.719,-5.188
0.105,-0.887,-2.607,59.021,-189.026,20.996
0.050,-0.719,-2.353,34.912,-228.271,39.185
-0.030,-0.585,-2.132,9.399,-260.498,51.147
-0.122,-0.424,-1.870,-5.676,-292.236,61.951
-0.184,-0.291,-1.525,-11.536,-323.914,69.214
-0.208,-0.167,-1.212,-0.793,-346.924,71.228
-0.296,-0.115,-1.059,17.883,-356.873,68.665
-0.372,-0.162,-1.063,39.246,-363.770,63.843
-0.530,-0.240,-1.115,65.369,-377.991,62.378
-0.688,-0.217,-1.026,93.384,-406.677,65.918
-0.869,-0.178,-0.925,119.263,-441.589,70.190
-1.042,0.091,-0.696,138.428,-476.746,72.083
-1.354,0.078,-0.656,147.156,-503.418,54.016
-1.691,-0.270,-0.376,144.409,-541.199,27.527
-1.953,-0.519,0.458,135.620,-592.041,22.095
-1.995,-0.471,1.735,131.714,-632.141,37.354
-1.782,-0.084,2.926,145.691,-638.367,62.439
-1.565,0.559,3.749,185.425,-599.915,75.867
-1.257,1.101,4.000,205.505,-507.019,53.650
