aX,aY,aZ,gX,gY,gZ
-0.142,-2.364,0.678,-16.357,-18.005,58.716
-0.168,-2.278,0.639,-19.531,-19.714,84.290
-0.210,-2.160,0.632,-20.996,-24.658,108.887
-0.212,-1.986,0.565,-20.203,-29.175,132.507
-0.212,-1.731,0.561,-13.672,-33.997,153.442
-0.235,-1.577,0.554,-8.911,-35.461,168.213
-0.257,-1.580,0.432,-7.141,-36.255,173.584
-0.543,-1.547,0.632,-13.245,-41.809,180.908
-0.486,-1.368,0.863,-3.601,-52.795,206.482
-0.535,-1.013,0.880,5.615,-45.227,237.854
-0.615,-0.553,0.824,0.244,-34.668,260.681
-0.752,-0.080,0.984,-11.902,-40.161,277.832
-0.776,0.536,1.241,-24.414,-46.814,290.283
-0.822,1.312,1.184,-27.527,-34.729,295.654
-0.813,2.105,1.121,-20.752,-28.320,290.222
-0.606,2.604,1.319,-7.874,-44.800,261.047
-0.468,2.614,1.637,-3.113,-57.800,205.200
-0.320,2.294,1.855,-7.385,-52.795,145.691
-0.261,2.151,1.849,-14.587,-30.151,109.558
-0.298,2.298,1.699,-17.944,-7.263,92.468
-0.290,2.546,1.712,-18.433,-0.488,75.134
-0.290,2.780,1.735,-19.226,3.967,50.415
-0.297,2.848,1.659,-16.541,16.357,14.099
-0.304,2.771,1.626,-9.827,26.123,-28.015
-0.282,2.533,1.630,-1.404,33.813,-72.083
-0.300,2.179,1.540,5.554,46.265,-113.220
-0.303,1.788,1.332,12.207,62.256,-145.813
-0.299,1.528,1.087,19.287,74.219,-166.870
-0.333,1.352,0.838,24.841,82.947,-183.716
-0.375,1.137,0.642,26.062,85.754,-204.773
-0.405,0.956,0.540,28.381,81.665,-226.196
-0.403,0.793,0.502,29.602,75.012,-246.277
-0.480,0.444,0.426,12.634,71.228,-272.339
-0.521,-0.014,0.317,-6.653,67.871,-295.776
-0.586,-0.504,0.330,-24.109,54.077,-308.044
-0.608,-0.984,0.504,-33.569,33.630,-308.960
-0.524,-1.389,0.763,-32.898,14.832,-295.471
-0.473,-1.723,0.888,-18.372,9.644,-272.095
-0.427,-2.023,0.822,-0.488,14.343,-242.126
-0.379,-2.152,0.631,16.357,20.325,-204.224
-0.350,-1.963,0.162,32.837,20.325,-165.161
-0.331,-2.511,0.561,34.729,-7.568,-145.081
-0.249,-2.428,0.611,44.739,-13.977,-94.604
-0.268,-2.295,0.369,53.833,-1.221,-48.279
-0.142,-2.386,0.312,52.063,-10.010,-30.151
0.037,-2.408,0.321,33.875,-27.466,-13.306
-0.079,-2.517,0.395,1.282,-39.795,2.380
-0.129,-2.763,0.673,-32.532,-56.030,14.343
-0.173,-2.773,0.841,-58.044,-57.068,44.189
-0.307,-2.555,0.727,-72.754,-43.396,88.806
-0.398,-2.333,0.672,-75.012,-40.405,126.709
-0.419,-2.059,0.736,-67.261,-47.668,158.936
-0.546,-1.868,0.671,-59.082,-48.279,185.730
-0.593,-1.528,0.654,-54.626,-45.654,205.933
-0.589,-1.084,0.809,-45.898,-52.185,231.812
-0.614,-0.791,0.930,-27.161,-47.180,242.126
-0.674,-0.482,1.079,-0.488,-42.786,246.033
-0.652,0.079,1.215,20.081,-36.560,256.836
-0.645,0.478,1.104,40.955,-21.179,253.601
-0.593,0.646,0.825,42.969,-5.798,235.901
-0.540,0.748,0.598,28.931,-7.568,217.773
-0.468,1.024,0.679,4.639,-28.564,210.693
-0.379,1.305,1.036,-21.057,-55.908,201.416
-0.346,1.374,1.441,-49.500,-68.420,180.786
-0.349,1.532,1.687,-65.918,-61.096,163.513
-0.371,1.988,1.693,-68.481,-40.771,160.767
-0.345,2.507,1.708,-63.171,-25.757,151.917
-0.336,2.822,1.813,-53.040,-18.188,123.291
-0.300,2.967,1.856,-34.851,-6.836,83.984
-0.236,2.919,1.703,-13.550,11.658,41.321
-0.201,2.629,1.439,-0.305,28.992,-3.662

-0.175,2.108,1.301,15.869,27.283,-65.674
-0.142,1.965,1.321,19.348,24.414,-84.717
-0.142,1.816,1.192,20.691,31.677,-103.760
-0.189,1.599,1.042,16.296,38.879,-125.366
-0.245,1.320,0.954,13.184,42.114,-146.362
-0.287,1.025,0.835,15.259,44.617,-163.391
-0.317,0.849,0.742,18.921,43.518,-171.692
-0.334,0.629,0.751,24.536,36.438,-179.382
-0.394,0.399,0.667,34.302,35.889,-191.467
-0.449,0.124,0.523,48.096,37.781,-201.660
-0.471,-0.237,0.530,56.396,29.053,-212.646
-0.471,-0.619,0.653,58.777,14.038,-218.079
-0.428,-0.932,0.742,54.993,6.775,-213.013
-0.343,-1.113,0.770,41.931,8.606,-199.341
-0.219,-1.154,0.578,16.235,15.198,-186.218
-0.328,-1.545,0.762,-18.921,5.737,-186.768
-0.201,-1.757,0.964,-43.884,-3.967,-171.448
-0.229,-1.697,0.709,-51.636,18.372,-136.658
-0.232,-2.049,0.409,-67.871,22.583,-125.244
-0.205,-2.375,0.364,-70.190,5.432,-109.558
-0.177,-2.376,0.446,-63.965,-20.203,-74.585
-0.067,-2.322,0.688,-45.410,-41.443,-44.678
-0.076,-2.532,0.658,-22.705,-40.710,-26.123
-0.119,-2.659,0.648,-4.578,-40.710,-6.592
-0.117,-2.516,0.849,1.160,-49.255,35.767
-0.188,-2.504,0.942,3.296,-48.645,66.711
-0.231,-2.391,1.003,3.479,-45.471,92.957
-0.253,-2.111,1.096,2.686,-41.504,128.113
-0.320,-1.854,0.997,-1.953,-28.442,155.090
-0.397,-1.571,0.856,-7.874,-16.785,174.072
-0.430,-1.309,0.783,-12.085,-13.855,188.599
-0.432,-1.101,0.768,-18.616,-13.550,197.754
-0.437,-0.946,0.738,-24.048,-11.414,201.599
-0.427,-0.824,0.642,-27.588,-6.592,205.139
-0.454,-0.713,0.548,-33.203,-4.639,210.144
-0.556,-0.506,0.522,-37.415,-8.545,220.764
-0.635,-0.295,0.556,-40.405,-20.752,236.938
-0.716,0.485,0.786,-41.504,-36.499,257.874
-0.728,1.137,0.970,-39.063,-42.236,269.226
-0.766,1.500,1.073,-37.415,-39.917,245.972
-0.782,1.926,1.255,-24.719,-40.039,224.304
-0.758,2.292,1.362,-10.742,-38.513,201.477
-0.639,2.468,1.504,0.305,-35.828,167.908
-0.553,2.582,1.582,4.883,-28.931,133.118
-0.517,2.596,1.495,1.038,-12.634,96.863
-0.467,2.574,1.446,-6.226,-2.014,62.073
-0.426,2.464,1.450,-12.939,2.441,28.931
-0.394,2.259,1.459,-19.531,6.653,-2.441
-0.368,2.119,1.448,-26.428,12.146,-28.015
-0.352,2.061,1.354,-25.940,18.860,-44.739
-0.352,1.943,1.284,-20.508,23.071,-63.293
-0.355,1.768,1.205,-10.925,24.902,-84.045
-0.356,1.623,1.098,5.432,28.870,-101.379
-0.362,1.405,1.009,21.362,31.250,-118.652
-0.361,1.180,0.960,34.119,32.349,-134.277
-0.373,0.993,0.908,46.082,36.377,-145.447
-0.369,0.782,0.807,56.763,41.199,-155.518
-0.378,0.533,0.661,60.669,43.518,-166.870
-0.421,0.260,0.543,56.519,41.077,-177.185
-0.420,0.021,0.528,46.448,29.541,-184.631
-0.427,-0.183,0.627,36.377,13.794,-189.758
-0.414,-0.413,0.763,22.705,1.770,-193.237
-0.373,-0.700,0.897,7.874,-4.395,-194.153
-0.313,-0.947,0.969,-2.686,-4.395,-188.110
-0.196,-1.044,0.946,-6.531,3.662,-175.781
-0.251,-1.120,0.502,-2.869,12.878,-169.189
-0.135,-1.628,1.087,-5.127,-5.249,-168.152
-0.146,-1.429,0.588,15.381,23.804,-133.667
-0.181,-1.694,0.424,28.870,27.527,-118.164
-0.170,-2.059,0.523,45.410,6.165,-108.398
-0.090,-2.140,0.600,55.603,-5.981,-79.651
-0.040,-2.128,0.523,58.289,-8.972,-51.025
0.046,-2.143,0.644,49.683,-19.714,-32.593
0.071,-2.172,0.730,33.508,-22.644,-16.907
0.051,-2.311,0.715,11.475,-20.874,-6.592
0.020,-2.332,0.724,-8.179,-21.240,9.521
-0.022,-2.209,0.741,-20.874,-23.804,34.607
-0.067,-2.082,0.774,-28.320,-24.475,56.763
-0.110,-1.988,0.776,-31.250,-22.949,76.050
-0.192,-1.809,0.750,-30.457,-19.653,97.046
-0.240,-1.569,0.758,-26.978,-17.700,118.164
-0.292,-1.374,0.786,-23.132,-15.076,134.399
-0.371,-1.156,0.851,-18.738,-10.803,148.315
-0.414,-0.827,0.888,-11.536,-4.028,162.659
-0.439,-0.530,0.844,-2.014,3.174,170.898
-0.440,-0.366,0.768,4.761,7.629,170.837
-0.452,-0.279,0.753,3.906,4.883,170.105
-0.475,-0.109,0.796,-8.057,-0.977,174.744
-0.443,0.120,0.775,-23.804,-4.456,180.115
-0.490,0.361,0.759,-43.762,-7.996,182.373
-0.559,0.668,0.939,-60.608,-21.240,186.462
-0.588,1.143,1.237,-65.247,-35.645,191.895
-0.674,1.872,1.496,-58.655,-39.185,194.031
-0.704,2.644,1.739,-41.504,-36.316,181.946
-0.613,3.097,1.857,-15.076,-26.123,148.315
-0.507,3.009,1.807,3.723,-7.996,94.360
-0.430,2.631,1.593,12.939,9.949,41.565
-0.385,2.322,1.502,14.343,17.883,6.775
-0.317,2.216,1.563,11.597,18.555,-12.146
-0.281,2.162,1.517,4.700,25.940,-29.907
-0.280,1.932,1.360,-2.502,36.987,-54.504
-0.246,1.700,1.214,-7.446,41.870,-76.477
-0.228,1.547,1.066,-11.230,43.823,-91.064
-0.219,1.331,0.938,-7.568,45.105,-107.605
-0.238,1.002,0.790,0.305,44.739,-125.305
-0.240,0.778,0.673,9.766,41.992,-133.240
-0.216,0.705,0.604,24.170,37.354,-133.118
-0.243,0.501,0.503,37.842,34.424,-138.062
-0.237,0.264,0.403,47.241,29.602,-142.639
-0.261,0.158,0.349,55.969,19.409,-138.000
-0.288,0.059,0.405,63.293,4.761,-132.996
-0.289,-0.159,0.500,68.604,-9.277,-135.925
-0.258,-0.349,0.733,64.880,-22.278,-136.902
-0.235,-0.582,0.883,50.110,-25.757,-137.329
-0.187,-0.705,0.845,28.992,-20.813,-139.038
-0.183,-1.106,1.242,2.563,-18.494,-139.587
-0.158,-1.075,1.084,-19.592,3.967,-123.779
-0.140,-1.205,0.741,-33.936,28.687,-113.647
-0.091,-1.585,0.713,-36.011,24.292,-115.845

-0.024,-1.952,0.580,-8.545,18.372,-80.688
-0.002,-2.091,0.276,8.057,18.005,-61.157
0.029,-2.149,0.346,22.522,-2.625,-40.405
0.043,-2.266,0.600,31.555,-27.527,-20.996
0.061,-2.360,0.623,30.457,-33.752,-1.770
0.080,-2.271,0.705,23.621,-38.269,22.400
0.072,-2.200,0.847,7.324,-44.617,41.016
0.015,-2.064,0.883,-11.597,-42.297,58.228
-0.049,-1.856,0.948,-29.175,-38.025,75.928
-0.111,-1.664,1.038,-40.649,-33.508,88.623
-0.178,-1.473,1.065,-44.189,-23.865,99.365
-0.207,-1.299,0.996,-41.199,-10.864,110.107
-0.228,-1.268,0.890,-37.903,0.000,116.211
-0.239,-1.291,0.848,-35.645,6.287,122.192
-0.276,-1.271,0.770,-29.236,10.742,134.766
-0.339,-1.234,0.464,-22.766,16.724,150.757
-0.400,-0.972,0.187,-20.447,11.353,174.133
-0.467,-0.596,0.256,-23.437,-11.658,196.411
-0.547,-0.226,0.543,-30.151,-38.086,212.769
-0.632,0.263,0.899,-33.875,-53.528,224.915
-0.741,0.841,1.218,-32.654,-56.763,228.271
-0.823,1.581,1.426,-23.437,-50.659,225.769
-0.770,2.231,1.406,-10.864,-36.316,211.487
-0.667,2.387,1.290,-5.920,-21.240,170.532
-0.592,2.203,1.331,-7.385,-16.968,120.850
-0.549,2.074,1.461,-9.583,-15.808,86.060
-0.540,2.097,1.565,-11.414,-10.803,65.674
-0.524,2.171,1.568,-12.390,-1.404,48.645
-0.519,2.189,1.508,-13.611,7.568,29.785
-0.519,2.159,1.404,-16.174,13.489,9.216
-0.485,2.101,1.384,-15.991,13.489,-11.597
-0.439,2.034,1.553,-16.174,10.010,-31.921
-0.414,1.891,1.480,-13.062,18.677,-53.162
-0.403,1.753,1.237,-2.380,32.104,-71.960
-0.423,1.514,1.074,7.812,36.621,-92.896
